Word,Meaning
ajar,"(If a door is ajar, it is slightly open:)
[We left the door ajar so that we could hear what they were saying.]
"
alacrity,"(speed and eagerness:)
[She accepted the money with alacrity.]
"
albeit,"(although:)
[The evening was very pleasant, albeit a little quiet.
He tried, albeit without success.]
"
ambigous,
amenable,"(willing to accept or be influenced by a suggestion:)
[She might be more amenable to the idea if you explained how much money it would save.
Do you think the new manager will prove more amenable to our proposals?]
"
amend,"(to change the words of a text, especially a law or a legal document:)
[MPs were urged to amend the law to prevent another oil tanker disaster.
In line 20, ""men"" should be amended (= changed) to ""people"".
Until the constitution is amended, the power to appoint ministers will remain with the president.]
"
amicable,"(relating to behaviour between people that is pleasant and friendly, often despite a difficult situation:)
[His manner was perfectly amicable, but I felt uncomfortable.]
(relating to an agreement or decision that is achieved without people arguing or being unpleasant:)
[Few people have amicable divorces.
Eventually we reached an amicable settlement.]
"
anticipate,"(to imagine or expect that something will happen:)
[We don't anticipate any trouble.
We had one or two difficulties along the way that we didn't anticipate.
Are you anticipating a lot of people at the party tonight?
[ + -ing verb ] They anticipate having several applicants for the job.
[ + that ] They anticipate that they will have several applicants for the job
[ + question word ] At this stage we can't really anticipate what will happen.
The anticipated inflation figure is lower than last month's.]
(to take action in preparation for something that you think will happen:)
[It's always best to anticipate a problem before it arises.
The army anticipated (= took action in preparation for) the explosion by evacuating the town.]
"
aplomb,"(confidence and style:)
[Rosalind conducted the meeting with characteristic aplomb/with her usual aplomb.]
"
apocryphal,"(An apocryphal story is probably not true although it is often told and believed by some people to have happened:)
[an apocryphal story
It's a good story but I dare say it's apocryphal.]
"
appease,"(to prevent further disagreement or fighting by letting the opposing side have something that they want:)
[He was a crucial ally who the country needed to appease.
They were given a small pay rise but this was not enough to appease them.
She claimed that the government had only changed the law in order to appease their critics.]
(to get rid of unpleasant feelings or make them less strong:)
[We try to appease our guilty consciences by making donations to charity.
His resignation did little to appease public anger.]
"
apprise,"(to tell someone about something:)
[The president has been apprised of the situation.]
"
aquiver,"(shaking slightly, often because of strong emotion:)
[""You won't help me?"" she asked, her lip aquiver.
Historians are all aquiver at the discovery of these priceless documents.]
"
arbitrary,"(based on chance rather than being planned or based on reason:)
[arbitrary decision-making
Did you have a reason for choosing your destination or was it arbitrary?]
(using unlimited personal power without considering other people's rights or wishes:)
[an arbitrary ruler
The company has been the subject of an arbitrary take-over.]
"
arcane,"(mysterious and known only by a few people:)
[He was the only person who understood all the arcane details of the agreement.
This argument may seem arcane to those not closely involved in the world of finance.]
"
abdicate,"(If a king or queen abdicates, he or she makes a formal statement that he or she no longer wants to be king or queen:)
[King Edward VIII abdicated (the British throne) in 1936.]
(to stop controlling or managing something that you are in charge of:)
[She abdicated all responsibility for the project.]
"
abet,"(to help or encourage someone to do something wrong or illegal:)
[His accountant had aided and abetted him in the fraud.]
"
abhor,"(to hate a way of behaving or thinking, often because you think it is not moral:)
[I abhor all forms of racism.]
"
abnegation,"(the act of not allowing yourself to have something, especially something you like or want:)
[They believe it is the duty of women to live for others in complete abnegation of themselves.
It is a heart-warming tale of courage and abnegation.]
(the act of not accepting something, or of saying that you do not have something:)
[To ignore these issues would be a serious abnegation of responsibility.
This abnegation of customer care really annoys me.]
"
abscond,"(to go away suddenly and secretly in order to escape from somewhere:)
[Two prisoners absconded last night.
She absconded from boarding school with her boyfriend.]
(to go away suddenly and secretly because you have stolen something, usually money:)
[They absconded with £10,000 of the company's money.]
"
abstruse,"(not known or understood by many people:)
[an abstruse philosophical essay]
"
abysmal,"(very bad:)
[abysmal working conditions
The food was abysmal.
The standard of the students' work is abysmal.]
(very deep:)
[titanic heights and abysmal depths]
"
accede,"(to agree to do what people have asked you to do:)
[He graciously acceded to our request.
It is doubtful whether the government will ever accede to the nationalists' demands for independence.]
(to become king or queen, or to take a position of power:)
[The diaries were written in 1837, when Queen Victoria acceded to the throne.]
"
accolade,"(praise and approval:)
[He's been granted the ultimate accolade - his face on a postage stamp.
Her approval was the highest accolade he could receive.]
"
accretion,"(a gradual increase or growth by the addition of new layers or parts:)
[The fund was increased by the accretion of new shareholders.
The room hadn't been cleaned for years and showed several accretions of dirt and dust.]
"
accumulation,"(an amount of something that has been collected:)
[Despite this accumulation of evidence, the government persisted in doing nothing.
Accumulations of sand can be formed by the action of waves on coastal beaches.]
"
acquaint,"(to make someone or yourself familiar with something:)
[Take time to acquaint yourself with the rules.
The Broadcasting Museum offers workshops to acquaint children with the world of radio.]
"
acrimonious,"(full of anger, arguments, and bad feeling:)
[an acrimonious dispute
Their marriage ended eight years ago in an acrimonious divorce.]
"
act up,"(If a person, especially a child, acts up, they behave badly:)
[Sophie got bored and started acting up.]
(If a machine or part of the body acts up, it does not perform as well as it should:)
[My car always acts up in cold weather.
Her shoulder was acting up (= hurting because of injury).]
"
acuity,"(the ability to hear, see, or think accurately and clearly:)
[Tiredness also affects visual acuity.
He was a man of great political acuity.]
"
acumen,"(skill in making correct decisions and judgments in a particular subject, such as business or politics:)
[She has considerable business/financial acumen.]
"
adjecent,
adjure,"(to ask or order someone to do something:)
[The judge adjured him to answer truthfully.]
"
adorn,"(to add something decorative to a person or thing:)
[The bride's hair was adorned with white flowers.]
"
adroit,"(very skilful and quick in the way you think or move:)
[an adroit reaction/answer/movement of the hand
She became adroit at dealing with difficult questions.]
"
adulterate,"(to make food or drink weaker or to lower its quality, by adding something else:)
[There were complaints that the beer had been adulterated with water.]
"
adumbrate,"(to give only the main facts and not the details about something, especially something that will happen in the future:)
[The project's objectives were adumbrated in the report.]
"
castigate,
cavil,"(to make unreasonable complaints, especially about things that are not important)
[]
(an unreasonable complaint, especially about something that is not important:)
[The one cavil I have about the book is that it is written as a diary.
The main cavil is that the whole film goes on for too long.]
"
cessation,"(ending or stopping:)
[Religious leaders have called for a total cessation of the bombing campaign.]
"
chide,"(to speak to someone severely because they have behaved badly:)
[She chided him for his bad manners.]
"
circumlocution,"((an example of) an indirect way of saying something, especially something unpleasant:)
[""Economical with the truth"" is a circumlocution for ""lying"".
Politicians are experts in circumlocution.]
"
circumspect,"(careful not to take risks:)
[Officials were circumspect about saying what the talks had achieved.]
"
clandestine,"(planned or done in secret, especially describing something that is not officially allowed:)
[The group held weekly clandestine meetings in a church.
He has been having a clandestine affair with his secretary for three years.
She undertook several clandestine operations for the CIA.]
"
cliffhanger,"(a story or a situation that is exciting because its ending or result is uncertain until it happens:)
[Many of Hitchcock's films are real cliffhangers.
It looks as if the election is going to be a cliffhanger.]
"
cloying,"(tasting or smelling too sweet and therefore unpleasant:)
[This is a wonderful wine - honeyed and rich without being remotely cloying.
The room was filled with the cloying scent of lilies.]
(expressing feelings of love or kindness in a way that is annoying because it does not seem real:)
[She criticized the cloying sentimentality of the film.
The story is heartwarming but never cloying.]
"
cloy the appetite,
clumsy,"(A clumsy person often has accidents because they do not behave in a careful, controlled way:)
[That's the third glass you've smashed this week - you're so clumsy!]
(awkward in movement or manner:)
[The first mobile phones were heavy and clumsy to use, but nowadays they are much easier to handle.
He gave a clumsy bow.]
(not skilful in the way you deal with or express something:)
[Her clumsy handling of the situation only made it worse.
My attempts to apologize were very clumsy.
Some of the wording of the statement was a bit clumsy.]
"
clunky,"(heavy and solid in an ugly way:)
[The clunky handsets looked old-fashioned as soon as they were launched.
He wore a clunky gold ring.]
(awkward or badly done:)
[The writing is clunky in places and full of clichés.]
(old-fashioned or slow:)
[It was the slow, clunky technology it used that was responsible for the firm's failure.]
"
coercion,"(the use of force to persuade someone to do something that they are unwilling to do:)
[He claimed the police had used coercion, threats, and promises to obtain the statement illegally.]
"
cogent,"(A cogent argument, reason, etc. is clearly expressed and persuades people to believe it.)
[]
"
coherent,"(If an argument, set of ideas, or a plan is coherent, it is clear and carefully considered, and each part of it connects or follows in a natural or reasonable way.)
[]
(If someone is coherent, you can understand what that person says:)
[When she calmed down, she was more coherent (= able to speak clearly and be understood).]
"
coincide to,"(to happen at or near the same time:)
[I timed my holiday to coincide with the children's.
If the heavy rain had coincided with an extreme high tide, serious flooding would have resulted.]
(to be the same or similar:)
[Our views coincide on a range of subjects.
If our schedules coincide, we'll go to Spain together.]
"
commence,"(to begin something:)
[We will commence building work in August of next year.
Shall we let the meeting commence?
[ + -ing verb ] Unfortunately, he commenced speaking before all the guests had finished eating.]
"
commensurate,"(in a correct and suitable amount compared to something else:)
[a salary that is commensurate with skills and experience]
"
compunction,"(a slight guilty feeling about something you have done or might do:)
[I wouldn't have any compunction about telling him to leave.]
"
concede,"(to admit, often unwillingly, that something is true:)
[[ + (that) ] The government has conceded (that) the new tax policy has been a disaster.
[ + speech ] ""Well okay, perhaps I was a little hard on her,"" he conceded.]
(to admit that you have lost in a competition:)
[He kept on arguing and wouldn't concede defeat.
She conceded even before all the votes had been counted.]
(to allow someone to have something, even if you do not want to:)
[The president is not expected to concede these reforms.
He is not willing to concede any of his power/authority.
Britain conceded (= allowed) independence to India in 1947.]
(to fail to stop an opposing team or person from winning a point or game:)
[The team conceded two goals (to the other side) in the first five minutes of the game.]
"
conciliation,"(the action or process of ending a disagreement, often by discussion between the groups or people involved:)
[All attempts at conciliation failed and the dispute continued.
He prefers compromise and conciliation to confrontation.]
"
concomitant,"(something that happens with something else and is connected with it:)
[Loss of memory is a natural concomitant of old age.]
(happening and connected with another thing:)
[Any increase in students means a concomitant increase in money for the university.]
"
condescending,"(treating someone as if you are more important or more intelligent than them:)
[I hate the way he's so condescending to his staff!]
"
condolence,"(sympathy and sadness for the family or close friends of a person who has recently died, or an expression of this, especially in written form:)
[a letter of condolence
Dignitaries from all over the world came to offer their condolences.]
"
connive,"(to plan secretly and dishonestly for something to happen that will be to your advantage:)
[Officials were accused of conniving with the company in the supply of arms to Sierra Leone.
[ + to infinitive ] They connived to break the school rules at every opportunity.]
(to allow something bad to happen although you know about it:)
[She had murdered or connived at the murder of one of her lovers.
He called for an independent investigation to find out whether corrupt officials are being bribed to connive in shoddy construction.]
"
connotation,"(a feeling or idea that is suggested by a particular word although it need not be a part of the word's meaning, or something suggested by an object or situation:)
[The word ""lady"" has connotations of refinement and excessive femininity that some women find offensive.]
"
construe,"(to understand the meaning, especially of other people's actions and statements, in a particular way:)
[Any changes to the plan would be construed as indecision.]
"
contagious,"(A contagious disease can be caught by touching someone who has the disease or by touching an infected object, or by an infected person coughing, sneezing, etc. near you:)
[The infection is highly contagious, so don't let anyone else use your towel.
There were fears the contagious disease could wipe out livestock over a wide area.]
(A contagious person has a disease that they can pass to other people:)
[Keep him out of school until he's not contagious anymore.
The patient is most contagious for the first 3 weeks from their earliest symptom.]
(A contagious feeling spreads quickly among people:)
[Fear is contagious.
His presence was warm and his wit was contagious.]
"
contemplate,"(to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way:)
[[ + -ing verb ] I'm contemplating going abroad for a year.
They were contemplating a move to California.
It's too awful/horrific/dangerous to contemplate.]
"
contravene,"(to do something that a law or rule does not allow, or to break a law or rule:)
[The company knew its actions contravened international law.]
"
conundrum,"(a problem that is difficult to deal with:)
[Arranging childcare over the school holidays can be a real conundrum for working parents.]
(a question that is a trick, often involving a humorous use of words that have two meanings)
[]
"
convergence,"(the fact that two or more things, ideas, etc. become similar or come together:)
[a convergence of interests/opinions/ideas
The convergence of pop-cultural trends and technological progress gave us camera phones and the ""selfie"".]
"
convivial,"(friendly and making you feel happy and welcome:)
[a convivial atmosphere/host]
"
coruscant,
courteous,"(polite and showing respect:)
[Although she often disagreed with me, she was always courteous.]
"
credulous,"(too willing to believe what you are told and so easily deceived)
[]
"
culpable,"(deserving to be blamed or considered responsible for something bad:)
[He was held culpable (= blamed) for all that had happened.]
"
curtail,"(to stop something before it is finished, or to reduce or limit something:)
[to curtail your holiday/spending
With all the snow, our daily walks have been severely curtailed.]
"
debacle,"(a complete failure, especially because of bad planning and organization:)
[The collapse of the company was described as the greatest financial debacle in US history.]
"
debase,"(to make something less good or less valuable:)
[Some argue that money has debased football.
We debase language by using it inappropriately until it loses its meaning.]
(to make someone morally worse or less deserving of respect:)
[War debases those who take part in it.
He would not debase himself by entering such a popularity contest.]
(to lower the value of money, for instance by making metal coins from a less valuable substance, borrowing too much against the current value of that money, etc. :)
[The only way out of this is to debase the currency.]
"
decimate,"(to kill a large number of something, or to reduce something severely:)
[Populations of endangered animals have been decimated.]
"
deft,"(skilful, clever, or quick:)
[Her movements were deft and quick.
She answered the journalist's questions with a deft touch.
He's very deft at handling awkward situations.]
"
delectable,"(looking or tasting extremely good, and giving great pleasure:)
[a delectable cheesecake]
"
delineate,"(to describe or mark the edge of something:)
[The main characters are clearly delineated in the first chapter.
The boundary of the car park is delineated by a low brick wall.]
"
deluded,"(believing things that are not real or true:)
[Poor deluded girl, she thinks he's going to marry her.]
"
demure,"((especially of women) quiet and well behaved:)
[She gave him a demure smile.]
"
denigrate,"(to say that someone or something is not good or important:)
[You shouldn't denigrate people just because they have different beliefs from you.]
"
depute,"(to ask someone to act or speak for you:)
[[ + to infinitive ] I've deputed Lara Brown to speak for me at the conference.]
(If you depute something to someone, you ask them to do it for you:)
[She's deputing the organization of the exhibition to Sara.]
"
deride,"(to laugh at someone or something in a way that shows you think they are stupid or of no value:)
[He derided my singing as pathetic.
This building, once derided by critics, is now a major tourist attraction.]
"
desecrate,"(to damage or show no respect towards something holy or very much respected:)
[The mosque/shrine was desecrated by vandals.
It's a crime to desecrate the country's flag.]
"
deteriorate,"(to become worse:)
[She was taken into hospital last week when her condition suddenly deteriorated.
The political situation in the region has deteriorated rapidly.]
"
dexterous,"(having the ability to perform a difficult action quickly and skilfully with the hands:)
[a dexterous movement
Baseball players have to be fast and dexterous.
Raccoons have highly dexterous front feet that are shaped like human hands.]
(having the ability to think quickly and effectively or to do something difficult extremely well:)
[She was lively and dexterous intellectually.
He is a dexterous debater who deals swiftly with interrogators.]
"
digression,"(the action of moving away from the main subject you are writing or talking about and writing or talking about something else:)
[Talking about money now would be a digression from the main purpose of this meeting.
The book contains many interesting digressions about life in the last half-century of the regime.]
"
discernment,"(the ability to judge people and things well:)
[It's clear that you are a person of discernment.]
"
disclose,"(to make something known publicly, or to show something that was hidden:)
[The company has disclosed profits of over £200 million.
[ + that ] The police have disclosed that two officers are under internal investigation.]
"
disconsolate,"(extremely sad and disappointed:)
[The players were disconsolate after losing what should have been an easy game.]
"
discrepancy,"(a difference between two things that should be the same:)
[There is some discrepancy between the two accounts.
The committee is reportedly unhappy about the discrepancy in numbers.]
"
disdain,"(the feeling of not liking someone or something and thinking that they do not deserve your interest or respect:)
[He regards the political process with disdain.]
(to feel disdain for someone or something:)
[The older musicians disdain the new, rock-influenced music.]
(to refuse to do something because you feel you are too important to do it:)
[There were complaints that he disdained to mingle with the common people.]
"
dislodge,"(to remove something or someone, especially by force, from a fixed position:)
[The earthquake dislodged stones from the walls and the roof.
The Red Sox need two wins to dislodge the Yankees from first place.]
"
disparage,"(to criticize someone or something in a way that shows you do not respect or value him, her, or it:)
[The actor's work for charity has recently been disparaged in the press as an attempt to get publicity.]
"
distraught,"(extremely worried, nervous, or upset:)
[The missing child's distraught parents made an emotional appeal for information on TV.]
"
docile,"(quiet and easy to influence, persuade, or control:)
[The once docile population has finally risen up against the ruthless regime.]
"
donnish,"(intelligent, often in a way that is too serious:)
[He was a thin, donnish-looking man in a tweed jacket and sandals.]
"
dour,"((usually of a person's appearance or manner) unfriendly, unhappy, and very serious:)
[The normally dour Mr James was photographed smiling and joking with friends.]
"
dubious,"(thought not to be completely true or not able to be trusted:)
[These claims are dubious and not scientifically proven.
He has been associated with some dubious characters.
Ruth Ellis has the dubious (= bad) distinction of being the last woman to be hanged in Britain.]
(feeling doubt or not feeling certain:)
[I'm dubious about his promises to change his ways.]
"
eagerly,"(in a way that shows that you want to do or have something very much, especially something interesting or enjoyable:)
[When the opportunity to form a new theatre with those artists presented itself, I accepted it eagerly.
His autobiography will be one of the most eagerly awaited books of the season.]
"
ebullient,"(very energetic, positive, and happy:)
[He wasn't his usual ebullient self.]
"
effete,"(weak and without much power:)
[With nothing to do all day the aristocracy had grown effete and lazy.]
(more typical of a woman than of a man)
[]
"
effrontery,"(extreme rudeness without any ability to understand that your behaviour is not acceptable to other people:)
[He was silent all through the meal and then had the effrontery to complain that I looked bored!]
"
egalitarian,"(believing that all people are equally important and should have the same rights and opportunities in life:)
[an egalitarian society
The party's principles are basically egalitarian.]
(a person who has egalitarian beliefs:)
[Adams was no egalitarian.]
"
egregious,"(extremely bad in a way that is very noticeable:)
[It was an egregious error for a statesman to show such ignorance.]
"
eloquent,"(giving a clear, strong message:)
[She made an eloquent appeal for action.
The pictures were an eloquent reminder of the power of the volcano.]
"
elucidate,"(to explain something or make something clear:)
[I don't understand. You'll have to elucidate.
The reasons for the change in weather conditions have been elucidated by several scientists.]
"
embark,"(to go onto a ship:)
[We embarked at Liverpool for New York.]
"
embelish,
embezzle,"(to secretly take money that is in your care or that belongs to an organization or business you work for:)
[She embezzled thousands of dollars from the charity.]
"
emboldened,"(past simple and past participle of embolden)
[]
"
empirical,"(based on what is experienced or seen rather than on theory:)
[This theory needs to be backed up with solid empirical data/evidence.
Empirical studies show that some forms of alternative medicine are extremely effective.]
"
enervating,"(making you feel weak and without energy:)
[I find this heat very enervating.]
"
engulf,"(to surround and cover something or someone completely:)
[The flames rapidly engulfed the house.
Northern areas of the country were engulfed by/in a snowstorm last night.
The war is threatening to engulf the entire region.]
"
enigma,"(something that is mysterious and seems impossible to understand completely:)
[She is something of an enigma.
The newspapers were full of stories about the enigma of the plane's disappearance.]
"
ennui,"(a feeling of being bored and mentally tired caused by having nothing interesting or exciting to do:)
[The whole country seems to be affected by the ennui of winter.]
"
ensue,"(to happen after something else, especially as a result of it:)
[The police officer said that he had placed the man under arrest and that a scuffle had ensued.]
"
entreat,"(to try very hard to persuade someone to do something:)
[[ + to infinitive ] We would spend every meal time entreating the child to eat her vegetables.]
"
entrenched,"(Entrenched ideas are so fixed or have existed for so long that they cannot be changed:)
[It's very difficult to change attitudes that have become so deeply entrenched over the years.
The organization was often criticized for being too entrenched in its views.]
"
eradicate,"(to get rid of something completely or destroy something bad:)
[The government claims to be doing all it can to eradicate corruption.
The disease that once claimed millions of lives has now been eradicated.]
"
erroneous,"(wrong or false:)
[an erroneous belief/impression]
"
eschew,"(to avoid something intentionally, or to give something up:)
[We won't have discussions with this group unless they eschew violence.]
"
evasive,"(answering questions in a way that is not direct or clear, especially because you do not want to give an honest answer:)
[The Minister was her usual evasive self, skilfully dodging reporters' questions about her possible resignation.]
(done to avoid something bad happening:)
[By the time the pilot realized how close the plane was to the building, it was too late to take evasive action.
Drivers had to make sudden evasive manoeuvres.]
"
exacerbation,"(the process of making something that is already bad even worse:)
[Exposure to mould has been associated with exacerbation of asthma.
This is not a new problem, but the exacerbation of an old one.]
"
exaggeration,"(the fact of making something seem larger, more important, better, or worse than it really is:)
[Sal estimates over 60 people were there but I think that's a slight exaggeration.
[ + to infinitive ] It would be no exaggeration to say that her work has saved lives.]
"
excogitate,
exemplify,"(to be or give a typical example of something:)
[This painting perfectly exemplifies the naturalistic style which was so popular at the time.]
"
explicit,"(clear and exact:)
[I gave her very explicit directions how to get here.
She was very explicit about (= said very clearly and exactly) what she thought was wrong with the plans.
I wasn't aware that I would be paying - you certainly didn't make it explicit (= state it clearly).]
(showing or talking about sex or violence in a very detailed way:)
[a sexually explicit movie]
"
expunge,"(to rub off or remove information from a piece of writing:)
[His name has been expunged from the list of members.]
(to cause something to be forgotten:)
[She has been unable to expunge the details of the accident from her memory.]
"
extemporize,"(to speak or perform without any preparation or thought:)
[I'd lost my notes and had to extemporize.]
"
facetious,"(not serious about a serious subject, in an attempt to be funny or to appear clever :)
[facetious remarks
He's just being facetious.]
"
fallacious,"(not correct:)
[His argument is based on fallacious reasoning.]
"
fastidious,"(giving too much attention to small details and wanting everything to be correct and perfect:)
[He is very fastidious about how a suitcase should be packed.]
(having a strong dislike of anything dirty or unpleasant:)
[They were too fastidious to eat in a fast-food restaurant.]
"
fatuous,"(stupid, not correct, or not carefully thought about:)
[a fatuous idea]
"
feasible,"(able to be made, done, or achieved:)
[With the extra resources, the project now seems feasible.
[ + to infinitive ] It may be feasible to clone human beings, but is it ethical?]
"
feral,"(existing in a wild state, especially describing an animal that was previously kept by people:)
[feral dogs/cats]
"
fervent,"(used to describe beliefs that are strongly and sincerely felt or people who have strong and sincere beliefs:)
[a fervent supporter of the communist party
It is his fervent hope that a peaceful solution will soon be found.]
"
festive,"(having or producing happy and enjoyable feelings suitable for a festival or other special occasion:)
[a festive mood/occasion
The hall looked very festive with its Christmas tree.]
"
fiendish,"(evil and cruel:)
[a fiendish attack]
(clever and difficult, sometimes in a bad way:)
[a fiendish crossword
a fiendish plot]
(very great:)
[a fiendish price
I'm in a fiendish hurry.]
"
flabbergasted,"(feeling shocked, usually because of something you were not expecting:)
[When they announced her name, the winner just sat there, flabbergasted.
She is flabbergasted by the whole affair.]
"
flagrant,"((of a bad action, situation, person, etc.) shocking because of being so obvious:)
[a flagrant misuse of funds/privilege
a flagrant breach of trust
a flagrant disregard for the law]
"
flare up,"(a situation in which something such as violence, pain, or anger suddenly starts or gets much worse:)
[There was another flare-up of rioting later that day.]
"
flinch,"(to make a sudden, small movement because of pain or fear:)
[He didn't even flinch when the nurse cleaned the wound.]
"
fluctuate,"(to change, especially continuously and between one level or thing and another:)
[Vegetable prices fluctuate according to the season.
Her wages fluctuate between £150 and £200 a week.
Her weight fluctuates wildly.
fluctuating prices]
"
flummoxed,"(so confused that you do not know what to do:)
[He looked completely flummoxed.
Doctors were flummoxed by the boy's symptoms.]
"
forbearance,"(the quality of being patient and being able to forgive someone or control yourself in a difficult situation:)
[[ + (that) ] He thanked his employees for the forbearance (that) they had shown during the company's difficult times.]
"
forthcoming,"(happening soon:)
[We have just received the information about the forthcoming conference.]
(friendly and helpful, willing to give information or to talk:)
[I had difficulty getting any details. He wasn't very forthcoming.]
(produced, supplied, or given:)
[No explanation for his absence was forthcoming.
Will financial support for the theatre project be forthcoming?]
"
frenzy,"((an example of) uncontrolled and excited behaviour or emotion that is sometimes violent:)
[In a frenzy of rage she hit him.
the media frenzy over the celebrity wedding
The audience worked/whipped themselves into a frenzy as they waited for her to come on stage.
There was a frenzy of activity in the financial markets yesterday.
In a moment of jealous frenzy, she cut the sleeves off all his shirts.]
"
fret,"(to be nervous or worried:)
[Don't fret - I'm sure he's OK.
She spent the day fretting about/over what she'd said to Nicky.]
(any of the small raised metal bars across the long, thin part of a stringed musical instrument such as a guitar, that show you where to put your fingers on the strings in order to produce different notes)
[]
"
furtive,"((of people) behaving secretly and often dishonestly, or (of actions) done secretly and often dishonestly:)
[I saw him cast a furtive glance at the woman at the table to his right.
He made one or two furtive phone calls.
There was something furtive about his behaviour and I immediately felt suspicious.]
"
galvanize,"(to cause someone to suddenly take action, especially by shocking or exciting them in some way:)
[Western charities were galvanized by TV pictures of starving people.
The prospect of his mother coming to stay galvanized him into action and he started cleaning the house.]
"
gloat,"(to feel or express great pleasure or satisfaction because of your own success or good luck, or someone else's failure or bad luck:)
[She's continually gloating over/about her new job.
I know I shouldn't gloat, but it really serves him right.
His enemies were quick to gloat at his humiliation.
[ + speech ] ""This is our fourth victory in a row,"" he gloated.]
(an occasion when you gloat about something:)
[to have a gloat at/over/about something]
"
gobble,"(to eat food too fast:)
[She gobbled her dinner (down/up).]
(to make the sound of a male turkey)
[]
"
grandiloquent,"(A grandiloquent style or way of using language is complicated in order to attract admiration and attention, especially in order to make someone or something seem important:)
[Her speech was full of grandiloquent language, but it contained no new ideas.]
"
gregarious,"((of people) liking to be with other people :)
[Emma's a gregarious, outgoing sort of person.]
((especially of animals) living in groups)
[]
"
grieve,"(to feel or express great sadness, especially when someone dies:)
[He is still grieving for/over his wife.]
(to make you feel sad and angry:)
[[ + obj + to infinitive ] It grieves me to see all this food going to waste.]
"
groggy,"(weak and unable to think clearly or walk correctly, usually because of tiredness or illness:)
[I felt a little bit groggy for a couple of days after the operation.]
"
hackneyed,"(A hackneyed phrase or idea has been said or used so often that it has become boring and has no meaning:)
[The plot of the film is just a hackneyed boy-meets-girl scenario.]
"
haughty,"(unfriendly and seeming to consider yourself better than other people:)
[She has a rather haughty manner.]
"
hectic,"(full of activity, or very busy and fast:)
[a hectic schedule
The area has become a haven for people tired of the hectic pace of city life.]
"
homage,"(deep respect and often praise shown for a person or god:)
[On this occasion we pay homage to him for his achievements.]
"
hunt out,
ignominious,"((especially of events or behaviour) embarrassing because of being a complete failure:)
[an ignominious defeat/failure/retreat]
"
illicit,"(illegal or disapproved of by society:)
[illicit drugs such as cocaine and cannabis
the illicit trade in stolen vehicles
an illicit love affair]
"
immense,"(extremely large in size or degree:)
[immense wealth/value
They spent an immense amount of time getting the engine into perfect condition.]
(extremely good:)
[He's an immense goalkeeper.]
"
impeccable,"(perfect, with no problems or bad parts:)
[impeccable taste/manners/credentials
His English is impeccable.]
"
impecunious,"(having very little money:)
[I first knew him as an impecunious student living in a tiny apartment.]
"
impertinent,"(rude and not showing respect, especially towards someone older or in a higher position than you:)
[I hope he didn't think I was being impertinent when I asked him about his private life.
an impertinent remark/question]
"
